taxa,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
X275,-228.216484132886,-26.1625886819078,85.1501359029475,-105.195553898759,251.86748487897,-28.2370169786289,13.0736496499014,-60.7002316636844,2.37679033835352,-59.1157512370586
X325,57.0016135548269,-223.961705683959,-42.9222812306381,97.7816459115931,44.783260003525,31.8926416024351,-12.7196371387235,59.9514507746181,30.3390373126946,12.5591867741158
X119,97.6261852119233,96.3530139113342,21.3575700873705,13.2102028175123,-16.5157930534179,30.636613353433,5.85198784261342,-44.4227568931858,-13.9060011750806,4.23961895330488
X138,74.2526602844385,-64.3696240811509,-30.0640683552128,-21.2476072244271,38.1558786287568,-35.6346204887924,-75.2927384883501,36.0450422008428,32.6712157623566,37.9227431674561
X296,163.826774521915,8.69586783401794,-27.2544391074586,-31.7300819237326,-1.72989228384481,1.48732100705024,77.1297805372849,-18.8362823866513,13.1196731336539,27.1750745961033
X257,-2.51764573952488,111.582157868254,14.5753889539834,55.1196396313787,-28.1314866916942,8.88033809553973,72.8896724312327,57.796930789987,-2.22269311353534,126.265415067385
X50,-133.793466873882,68.4637226046577,-57.3055117535344,-22.630305020134,0.583618027389668,-18.6300439242703,7.65301173978584,23.25678468563,-9.25857856502419,-0.0948324788651305
X150,180.143816383144,204.124427530462,57.2394207607274,-22.5753200433929,27.1813167088168,19.0167689656656,-13.309734354099,101.352630152587,-6.54706170536566,18.7422821213465
X279,-251.81340734952,-11.8296939213477,250.387257775888,-147.123069114816,27.3928220350661,130.377595447274,92.6344786480775,23.0387480369292,-56.544995627824,-43.50934246646
X168,131.374753282139,74.256342027658,16.8884990713277,40.4398265480639,62.8557096390752,-12.7968683300916,68.1291336600846,-58.9281278772035,-56.5990513793432,-1.14669213416204
X221,-0.253530676506961,24.331556121175,31.7349986455662,115.25423518295,95.1366481479406,9.86606641301084,-92.8981780309499,85.9196760783146,23.892392197939,94.3283954032963
X97,-9.43625559488872,24.4336866106351,2.55522316183467,-45.4131816158255,36.5194503649976,-1.80784702022456,8.83357732074839,-17.3194612825569,19.7892386570824,2.6167443892624
X1,117.575082166316,-48.3197266561734,-31.9057325431955,-55.3557952210892,-17.1619445490023,-24.2784734748746,26.0171744990935,-80.9262451730557,-28.9804677302055,41.9157498434123
X237,10.7390335865921,-76.8618994434776,-49.4057773268121,73.2031648473493,45.3130330661378,107.398631642245,-21.4769951264666,6.38843717492247,-16.7802902751295,29.322290429198
X269,-19.3524658627436,-146.307970638764,2.92919755262788,11.3427663698931,21.111134059165,-118.747252092277,108.458563286116,83.2823517386627,-48.7083295196764,-70.7026189880509
X134,120.094783286695,-81.9989135079899,-3.44305158896981,-100.727949279989,-84.2054884781348,-67.2434172856034,-63.1676505706151,-1.34700464464819,85.4575018726286,22.7669543779122
X155,130.30890223747,-89.6600053312412,-5.92248446276005,-112.959168918287,-89.2772343605696,-73.9363258531601,-66.724617611945,2.96618261095472,94.8307443475458,27.4460775128447
X253,-5.67276356538206,-18.0667011755052,38.9838005206539,-7.61802665470965,-88.1411831330118,19.8698178894191,84.1112507691098,-51.0452125504767,-60.7916799566609,104.027230478856
X122,130.337070683329,-73.2659978135792,-18.6022421274406,22.7723636349121,9.72980245157861,-10.1181846386966,22.5232726304762,-54.8497196288104,-29.6298560267349,52.964313007503
X77,-220.196412890512,81.9461609689393,-220.419699312684,16.2382343147785,-51.7360843394746,-1.75015988587206,-81.5728842374144,-11.5613404217852,-29.2948546561683,-44.2978330651363
X295,126.209850287576,37.9144314146426,-16.2968904440802,-24.269661067563,5.35001236018024,37.8749065717936,65.6570101140348,4.40077115701778,6.53401088502495,23.0270294851799
X69,-138.56209671724,109.607952211257,-146.990734345751,-15.1806808566799,-37.669957431878,-72.1602154282349,-61.6928722462725,4.24759102720387,-70.2419276230446,-13.4675154004131
